"Mailbox","Group","User"
"CN-Xiamen-Factory-Equipment-Projector-01","SEC-CNFAC-Xiamen-Factory-Equipment-Projector-01","XMREC"
"CN-Xiamen-Factory-Equipment-Projector-02","SEC-CNFAC-Xiamen-Factory-Equipment-Projector-02","XMREC"
"HK-Sales-Equipment-Projector-01","SEC-HK-Sales--Equipment-Projector-01",""
"ID-Factory-Equipment-Projector-03","SEC-IDFAC-Equipment-Projector-03","DNI"
"DK-Bredebro-IT-Equipment-Projector-03","SEC-DKHQ IT-Bredebro-IT-Equipment-Projector-03","SSON"
"DK-Bredebro-IT-Equipment-Projector-01","SEC-DKHQ IT-Bredebro-IT-Equipment-Projector-01","SSON"
